"","compound","LSM.ID","LSM.name","cell","Concordance","Tanimoto","autodock","Rank_S2L","Rank_Autodock","Geomean"
"32700","ZINC35805098","LSM-41674","BRD-K80786583-001-01-5","PC3",0.265,0.67,4.08e-06,26349,31415,28770.7114093482
"32701","ZINC34830139","LSM-42258","SA-103013","NKDBA",0.25,0.641,1.62e-06,30166,27442,28771.7808277486
"32702","ZINC04150007","LSM-4661","NINDS_000152","A549",0.323,0.544,8.22e-07,35441,23364,28775.7454117178
"32703","ZINC04603963","LSM-2629","Concneorine","HCC515",0.268,0.684,1.47e-05,24005,34496,28776.3180410559
"32704","ZINC10475407","LSM-4334","AC1MGQL6","ASC",0.183,0.634,1.43e-06,30894,26804,28776.4274363584
"32705","ZINC43261408","LSM-8862","BRD-K07382790","VCAP",0.259,0.69,9.43e-05,23036,35952,28778.2951545084
"32706","ZINC35746970","LSM-39044","BRD-K32253397","A549",0.285,0.674,5.5e-06,25598,32356,28779.3135428905
"32707","ZINC38597751","LSM-38207","BRD-K17706493","PC3",0.221,0.682,1e-05,24488,33823,28779.4653181743
"32708","ZINC29974589","LSM-3926","CHEMBL3188110","VCAP",0.263,0.615,1.15e-06,32463,25517,28781.2155928133
"32709","ZINC27254977","LSM-4536","ST092379","MCF7",0.293,0.6,1.02e-06,33415,24791,28781.7870362492
"32710","ZINC14141990","LSM-2699","Tolazamide","HT29",0.305,0.588,9.49e-07,34072,24313,28781.8091161761
"32711","ZINC00709395","LSM-2619","CHEMBL3182146","HA1E",0.275,0.548,8.29e-07,35368,23424,28782.9816384613
"32712","ZINC36548002","LSM-2358","SMR000132203","MCF7",0.311,0.644,1.76e-06,29740,27859,28784.1390352395
"32713","ZINC15605740","LSM-5750","Linezolid","A375",0.233,0.585,9.32e-07,34252,24190,28784.6466019647
"32714","ZINC48983375","LSM-3553","MLS-0435541.0001","NPC",0.227,0.577,9.02e-07,34566,23972,28785.6935299464
"32715","ZINC46583185","LSM-5925","Dofetilide","A549",0.217,0.674,5.36e-06,25663,32297,28789.5451683419
"32716","ZINC38903450","LSM-3728","SCHEMBL2554014","VCAP",0.232,0.596,9.87e-07,33731,24573,28790.1348208028
"32717","ZINC08772907","LSM-45625","Telatinib","HT29",0.231,0.627,1.31e-06,31520,26298,28790.8485460224
"32718","ZINC09891539","LSM-2362","CYM50199","A375",0.206,0.622,1.23e-06,31980,25921,28791.5539698711
"32719","ZINC34921649","LSM-2466","T5715534","VCAP",0.294,0.644,1.76e-06,29755,27860,28791.9137953697
"32720","ZINC12656165","LSM-6841","BRD-K57064803","HCC515",0.236,0.675,5.75e-06,25529,32478,28794.6325206626
"32721","ZINC50699315","LSM-4306","Mepivacaine","A375",0.291,0.632,1.41e-06,31047,26708,28795.8899150556
"32722","ZINC66591354","LSM-1800","Cyclopentolate","PC3",0.209,0.59,9.58e-07,34031,24367,28796.4125717076
"32723","ZINC62397199","LSM-6293","ML100","HCT116",0.305,0.667,3.92e-06,26509,31283,28797.2402670811
"32724","ZINC21323443","LSM-8046","BRD-K93958918","VCAP",0.175,0.654,2.19e-06,28656,28943,28799.1424872339
"32725","ZINC28887031","LSM-44942","MLS002699429","PC3",0.283,0.533,8.1e-07,35648,23269,28800.9255406836
"32726","ZINC14540039","LSM-40475","BRD-K58607374","A549",0.253,0.643,1.71e-06,29938,27709,28801.9451079263
"32727","ZINC08462756","LSM-1126","PI-103","MCF7",0.319,0.662,3e-06,27397,30279,28801.9749843652
"32728","ZINC36016869","LSM-3563","TRAP-101","MCF7",0.293,0.683,1.31e-05,24192,34299,28805.5794595422
"32729","ZINC47152275","LSM-39963","BRD-K48505466","VCAP",0.168,0.655,2.26e-06,28517,29098,28806.0352356932
"32730","ZINC04656821","LSM-6286","Tosedostat","SW948",0.283,0.535,8.13e-07,35614,23302,28807.5932351177
"32731","ZINC21866012","LSM-45708","Coluracetam","PC3",0.308,0.676,6.46e-06,25314,32787,28809.201967427
"32732","ZINC37264027","LSM-2263","MLS002699918","PC3",0.241,0.688,3.09e-05,23484,35346,28810.8567036803
"32733","ZINC61534663","LSM-45737","Anamorelin","A375",0.218,0.597,9.99e-07,33683,24645,28811.76035927
"32734","ZINC12890831","LSM-2561","T5766237","HCC515",0.262,0.576,9.05e-07,34601,23992,28812.2750229828
"32735","ZINC36306677","LSM-37509","BRD-K04340915","HT29",0.236,0.688,3.1e-05,23487,35348,28813.5120386252
"32736","ZINC37832131","LSM-14084","BRD-K92036763","VCAP",0.234,0.682,1.06e-05,24473,33925,28813.99876796
"32737","ZINC12498208","LSM-2510","MLS002264433","A549",0.212,0.653,2.16e-06,28733,28897,28814.8833244211
"32738","ZINC06077577","LSM-40576","BRD-K60487596","PC3",0.182,0.649,1.93e-06,29286,28352,28815.2159804503
"32739","ZINC35170974","LSM-43141","AC1NUE3V","MCF7",0.334,0.667,4.1e-06,26418,31433,28816.6096895523
"32740","ZINC20555939","LSM-3235","Spiperone","VCAP",0.287,0.635,1.48e-06,30763,26994,28816.9467848348
"32741","ZINC61593018","LSM-4391","(R)-3-Carboxy-4-hydroxyphenylglycine","MCF7",0.267,0.667,3.67e-06,26744,31054,28818.5387554609
"32742","ZINC43406956","LSM-19971","1,3-Dipropyl-8-cyclopentylxanthine","YAPC",0.186,0.667,3.2e-06,27184,30559,28822.1417663573
"32743","ZINC12603026","LSM-39108","BRD-K33486590","MCF7",0.314,0.679,8.35e-06,24854,33425,28822.6464780735
"32744","ZINC63994161","LSM-2158","3-{3-[(1,3-Benzothiazol-2-ylsulfanyl)methyl]-4-hydroxy-5-methoxyphenyl}-2-cyanoprop-2-enamide","PC3",0.29,0.639,1.6e-06,30340,27383,28823.605256803
"32745","ZINC35415852","LSM-15029","BRD-K29081238","VCAP",0.168,0.574,9e-07,34692,23955,28827.8833770362
"32746","ZINC13023387","LSM-3328","YM-298198","NPC",0.187,0.649,1.94e-06,29283,28384,28829.9960457854
"32747","ZINC28468257","LSM-45778","Tedizolid","MCF7",0.261,0.592,9.77e-07,33938,24493,28831.2926175709
"32748","ZINC19912438","LSM-45340","(5Z)-5-[1-(4-bromophenyl)ethylidene]-2-pyrrolidin-1-yl-1,3-thiazol-4(5H)-one","HL60",0.273,0.686,2.28e-05,23715,35062,28835.6607345835
"32749","ZINC12390524","LSM-2122","ST090534","A375",0.163,0.633,1.43e-06,31021,26805,28836.0521743182
"32750","ZINC36490435","LSM-1256","MLS002729074","MCF7",0.306,0.677,7.1e-06,25160,33059,28840.3266278314
"32751","ZINC65182500","LSM-37037","KDM-103","NPC",0.298,0.592,9.8e-07,33930,24515,28840.8382333108
"32752","ZINC36301820","LSM-2108","DH 97","HEPG2",0.251,0.676,6.36e-06,25401,32748,28841.4969791791
"32753","ZINC39560901","LSM-12458","BRD-K66052559","VCAP",0.236,0.582,9.34e-07,34368,24206,28842.881409457
"32754","ZINC38787504","LSM-2909","AC1NH1CK","A375",0.205,0.619,1.21e-06,32216,25823,28842.9153866248
"32755","ZINC05834992","LSM-4773","[4-(Cyclohexylsulfamoyl)-2-methylphenoxy]acetic acid","MCF7",0.304,0.586,9.53e-07,34181,24339,28843.2203299146
"32756","ZINC42146715","LSM-4890","Troglitazone","VCAP",0.268,0.661,2.86e-06,27638,30101,28843.2216993872
"32757","ZINC04473496","LSM-4643","NU1025","MCF7",0.36,0.684,1.82e-05,23925,34785,28848.4163343501
"32758","ZINC38629058","LSM-41998","BRD-K86629698","VCAP",0.245,0.658,2.56e-06,28080,29638,28848.4841889483
"32759","ZINC23861467","LSM-4890","Troglitazone","VCAP",0.268,0.643,1.75e-06,29915,27822,28849.5256460137
"32760","ZINC43218819","LSM-6366","AC1MEEHF","NKDBA",0.329,0.679,8.68e-06,24839,33513,28851.8527481339
"32761","ZINC06787691","LSM-1882","Delcorine","HT29",0.257,0.583,9.42e-07,34310,24264,28853.0386614651
"32762","ZINC22093440","LSM-4432","Alexidine","VCAP",0.178,0.659,2.61e-06,28016,29716,28853.4825627687
"32763","ZINC09103563","LSM-3375","MLS001065867","VCAP",0.35,0.618,1.21e-06,32242,25824,28855.1106045359
"32764","ZINC11898821","LSM-41922","BRD-K85236313","NPC",0.299,0.652,2.18e-06,28793,28923,28857.926796636
"32765","ZINC44713807","LSM-39777","BRD-K45235808","PC3",0.209,0.636,1.52e-06,30700,27127,28858.2553180195
"32766","ZINC67156419","LSM-2569","Gingerol","NEU",0.216,0.622,1.26e-06,31970,26052,28859.7027011714
"32767","ZINC36647989","LSM-4907","ST014075","VCAP",0.198,0.618,1.2e-06,32317,25773,28860.1115902209
"32768","ZINC07789525","LSM-45955","Saxagliptin","YAPC",0.251,0.533,8.22e-07,35653,23365,28862.299717798
"32769","ZINC54311856","LSM-2324","CHEMBL1270504","VCAP",0.233,0.66,2.74e-06,27844,29918,28862.3767559084
"32770","ZINC01366075","LSM-3663","Irsogladine","MCF7",0.32,0.667,4.16e-06,26449,31497,28862.8507427801
"32771","ZINC15547317","LSM-2100","CAM-9-021","VCAP",0.289,0.637,1.57e-06,30534,27288,28865.4082250711
"32772","ZINC57099763","LSM-2627","MLS003178539","A375",0.208,0.679,8.09e-06,24987,33350,28867.2210300888
"32773","ZINC49994386","LSM-3780","Proparacaine","HCC515",0.223,0.643,1.74e-06,29983,27796,28868.7974810175
"32774","ZINC11880495","LSM-45390","Omecamtiv mecarbil (CK-1827452)","YAPC",0.253,0.672,4.87e-06,26046,31998,28869.0129377504
"32775","ZINC09562027","LSM-3239","T5840683","HEPG2",0.311,0.441,7.78e-07,36214,23014,28869.1703379228
"32776","ZINC66122638","LSM-45322","","HEPG2",0.209,0.68,9.08e-06,24800,33607,28869.5964641004
"32777","ZINC10775338","LSM-5061","Argatroban","PC3",0.255,0.567,8.87e-07,34916,23872,28870.6555519614
"32778","ZINC14201957","LSM-1720","Htfmt","HCC515",0.296,0.59,9.8e-07,34002,24516,28872.011221943
"32779","ZINC43262323","LSM-4403","Aceclidine","PC3",0.319,0.688,5e-05,23367,35685,28876.4851566114
"32780","ZINC07321259","LSM-3079","Prazosin","VCAP",0.343,0.565,8.86e-07,34943,23864,28876.9761574857
"32781","ZINC02664069","LSM-45692","GSK-923295","YAPC",0.196,0.656,2.42e-06,28364,29401,28877.8455567586
"32782","ZINC36065787","LSM-6135","BRD-K62748479-001-01-4","MCF7",0.172,0.663,3.15e-06,27375,30476,28883.914208431
"32783","ZINC05839630","LSM-2628","Cilostamide","MCF7",0.336,0.667,4.26e-06,26410,31591,28884.5687175696
"32784","ZINC52860610","LSM-12975","BRD-K74260403","VCAP",0.206,0.684,1.64e-05,24091,34632,28884.5895245198
"32785","ZINC39533334","LSM-5897","JSH-23","DV90",0.175,0.66,2.74e-06,27887,29919,28885.1372335324
"32786","ZINC56468047","LSM-45565","RG2833 (RGFP109)","PC3",0.255,0.581,9.4e-07,34404,24254,28886.5819369478
"32787","ZINC08735996","LSM-3663","Irsogladine","MCF7",0.32,0.667,4.21e-06,26450,31549,28887.2125688859
"32788","ZINC08940315","LSM-3193","Risperidone","A549",0.28,0.657,2.56e-06,28156,29639,28887.9851149228
"32789","ZINC55196557","LSM-6469","BAS 01078354","HA1E",0.228,0.681,1.03e-05,24637,33876,28889.4965688224
"32790","ZINC13005993","LSM-5238","TENOVIN-1","A549",0.267,0.684,1.8e-05,24008,34767,28890.9351873559
"32791","ZINC32577585","LSM-12356","BRD-K64380185","VCAP",0.252,0.653,2.25e-06,28711,29074,28891.9299113091
"32792","ZINC56953484","LSM-38340","BRD-K19944193","A375",0.284,0.574,9.18e-07,34663,24083,28892.715846732
"32793","ZINC19960625","LSM-45738","","MCF7",0.183,0.684,1.64e-05,24110,34633,28896.394757824
"32794","ZINC39941001","LSM-4890","Troglitazone","VCAP",0.268,0.683,1.45e-05,24227,34473,28899.4354789155
"32795","ZINC39225639","LSM-1796","MLS000583951","NPC",0.276,0.586,9.68e-07,34185,24433,28900.5554444893
"32796","ZINC63975372","LSM-41747","BRD-K81953058","PC3",0.295,0.582,9.49e-07,34355,24314,28901.6862829836
"32797","ZINC22929438","LSM-1460","BRD-A07407288","A375",0.26,0.636,1.57e-06,30613,27289,28903.2551280993
"32798","ZINC59831408","LSM-37077","Dichlorobenzamil","NPC",0.175,0.622,1.27e-06,31995,26116,28906.4252373067
"32799","ZINC25364394","LSM-5633","Chlorhexidine","MCF7",0.19,0.646,1.88e-06,29614,28217,28907.0620783227
"32800","ZINC40986738","LSM-3362","KBIO2_003002","VCAP",0.275,0.681,1.09e-05,24594,33980,28908.5475249103
"32801","ZINC22179066","LSM-45916","Linagliptin","PC3",0.36,0.667,4.38e-06,26383,31678,28909.5256619682
"32802","ZINC31302089","LSM-4890","Troglitazone","VCAP",0.268,0.61,1.14e-06,32825,25462,28910.0354548382
"32803","ZINC43424153","LSM-3260","Ambroxol","HT29",0.275,0.609,1.13e-06,32900,25404,28910.0605326243
"32804","ZINC44713736","LSM-2550","Pirenperone","VCAP",0.262,0.654,2.34e-06,28577,29250,28911.5418129162
"32805","ZINC19665301","LSM-37564","SA-1939891","NKDBA",0.181,0.641,1.69e-06,30213,27667,28911.9883612317
"32806","ZINC06422029","LSM-39991","BRD-K48875630","A375",0.207,0.618,1.22e-06,32314,25874,28915.2630283731
"32807","ZINC67628317","LSM-3853","MLS001065878","VCAP",0.214,0.659,2.71e-06,27989,29874,28916.1440375441
"32808","ZINC63731200","LSM-37037","KDM-103","NPC",0.298,0.6,1.06e-06,33407,25034,28919.0393685544
"32809","ZINC20920717","LSM-5233","Raltegravir","MCF7",0.231,0.667,3.65e-06,26949,31034,28919.4617169822
"32810","ZINC66639383","LSM-45248","","PC3",0.281,0.688,5.4e-05,23410,35728,28920.4508955168
"32811","ZINC15536883","LSM-3926","CHEMBL3188110","VCAP",0.263,0.559,8.8e-07,35125,23812,28920.5203964244
"32812","ZINC42561287","LSM-36940","SCHEMBL5287555","NEU",0.169,0.688,3.76e-05,23562,35500,28921.462618616
"32813","ZINC17345765","LSM-45341","","HL60",0.241,0.661,2.96e-06,27668,30233,28922.0788326151
"32814","ZINC62203324","LSM-1206","MLN-0128","PC3",0.28,0.676,6.98e-06,25336,33016,28922.1952140566
"32815","ZINC36206550","LSM-1979","CHEMBL1698064","VCAP",0.244,0.659,2.75e-06,27950,29934,28924.9943820219
"32816","ZINC54431246","LSM-5475","Actarit","A549",0.219,0.565,8.96e-07,34970,23926,28925.6325773526
"32817","ZINC65623770","LSM-3295","SPB02137","MCF7",0.261,0.574,9.25e-07,34671,24135,28927.2291275884
"32818","ZINC35777327","LSM-2108","DH 97","HEPG2",0.251,0.667,3.78e-06,26852,31164,28927.7674216314
"32819","ZINC44173428","LSM-45756","MK-8245","HA1E",0.262,0.605,1.1e-06,33158,25238,28928.2146701106
"32820","ZINC39680187","LSM-4929","Elesclomol","A549",0.208,0.6,1.04e-06,33584,24919,28928.8730509849
"32821","ZINC35738205","LSM-2254","Xanthoxylin","HEPG2",0.266,0.688,5.21e-05,23435,35711,28929.0042172212
"32822","ZINC67269258","LSM-4493","AC1MDRA3","MCF7",0.224,0.553,8.68e-07,35272,23727,28929.2022703703
"32823","ZINC63863144","LSM-3260","Ambroxol","HT29",0.275,0.667,4.02e-06,26678,31373,28930.4146876605
"32824","ZINC05100514","LSM-4840","CHEMBL1619263","PC3",0.274,0.646,1.92e-06,29548,28329,28932.0806718079
"32825","ZINC49211652","LSM-1297","Flecainide","VCAP",0.274,0.667,4.02e-06,26682,31374,28933.0445684515
"32826","ZINC43407049","LSM-1854","CHEMBL130595","VCAP",0.293,0.688,6.16e-05,23392,35788,28933.5945917544
"32827","ZINC65503924","LSM-37232","2,3,7,8-Tetrachlorodibenzo-p-dioxin","HA1E",0.194,0.659,2.72e-06,28006,29892,28933.6370337364
"32828","ZINC08492756","LSM-36779","Merck-Ketone","MCF7",0.168,0.632,1.45e-06,31146,26880,28934.4859985451
"32829","ZINC38744453","LSM-2717","ZINC01792951","MCF7",0.187,0.63,1.42e-06,31290,26758,28935.4077213368
"32830","ZINC41601585","LSM-43095","ST012015","VCAP",0.28,0.654,2.38e-06,28556,29323,28936.9588588711
"32831","ZINC08942528","LSM-44961","Esomeprazole","MCF7",0.167,0.643,1.77e-06,30031,27885,28938.1138811775
"32832","ZINC10708184","LSM-42933","Mycophenolic acid","HELA",0.246,0.608,1.13e-06,32968,25405,28940.4913572662
"32833","ZINC08936972","LSM-4197","SRC Kinase Inhibitor II","VCAP",0.174,0.667,3.36e-06,27252,30734,28940.6801578677
"32834","ZINC36029687","LSM-2468","Palmitoyl Dopamine","A549",0.389,0.661,3.07e-06,27585,30375,28946.4052172286
"32835","ZINC63374547","LSM-12101","BRD-K60753740","VCAP",0.269,0.654,2.39e-06,28564,29344,28951.3733007607
"32836","ZINC54910847","LSM-5331","Emedastine","HT29",0.209,0.564,8.99e-07,35006,23945,28952.0063208062
"32837","ZINC43460723","LSM-2069","Benoxinate","A375",0.301,0.645,1.9e-06,29654,28271,28954.2437994847
"32838","ZINC04219524","LSM-45629","BX471","HA1E",0.209,0.63,1.43e-06,31275,26806,28954.4064004082
"32839","ZINC07002777","LSM-7730","BRD-K66110520","VCAP",0.254,0.65,2.13e-06,29074,28837,28955.2575191449
"32840","ZINC65946851","LSM-2629","Concneorine","HCC515",0.268,0.654,2.39e-06,28571,29345,28955.4139151904
"32841","ZINC13617724","LSM-5389","AC1L1IKY","YAPC",0.233,0.589,9.95e-07,34055,24620,28955.7265493374
"32842","ZINC33959166","LSM-42937","Bis-Tyrphostin","MCF7",0.251,0.625,1.35e-06,31679,26467,28955.9681758355
"32843","ZINC06198480","LSM-1196","C-Fms Inhibitor","PC3",0.359,0.673,6.04e-06,25710,32614,28956.9670373125
"32844","ZINC48474815","LSM-2478","STK151112","VCAP",0.217,0.64,1.7e-06,30287,27687,28957.8343285543
"32845","ZINC05694317","LSM-9234","BRD-K13448237","VCAP",0.337,0.533,8.43e-07,35637,23531,28958.1464703803
"32846","ZINC14988729","LSM-11431","BRD-K49417484","VCAP",0.281,0.635,1.56e-06,30768,27256,28958.8088152811
"32847","ZINC28084146","LSM-45983","Atipamezole (hydrochloride)","PC3",0.229,0.679,9.02e-06,24962,33596,28958.9943195547
"32848","ZINC35665737","LSM-2886","MLS002703076","SKB",0.252,0.643,1.81e-06,29941,28010,28959.4096970225
"32849","ZINC01430701","LSM-15112","BRD-K14187559","VCAP",0.195,0.661,2.99e-06,27707,30270,28960.1603932022
"32850","ZINC10166992","LSM-5840","WYE 354","NEU",0.217,0.638,1.64e-06,30501,27502,28962.7088166836
"32851","ZINC27028818","LSM-4751","856437-59-7","PC3",0.212,0.684,1.88e-05,24086,34827,28962.7885743069
"32852","ZINC33811668","LSM-4141","N-(6-Butyl-1,3-benzothiazol-2-yl)furan-2-carboxamide","HT29",0.182,0.553,8.76e-07,35278,23780,28963.9576025101
"32853","ZINC36136460","LSM-4174","Phentermine","HT29",0.31,0.647,2.01e-06,29386,28551,28965.491295678
"32854","ZINC58983552","LSM-2983","Capsazepine","NPC",0.202,0.586,9.81e-07,34209,24526,28965.6681952963
"32855","ZINC35119477","LSM-11637","BRD-K52473019","VCAP",0.231,0.686,2.97e-05,23759,35316,28966.75411571
"32856","ZINC20359056","LSM-45610","","HA1E",0.222,0.688,5.2e-05,23501,35707,28968.0894606462
"32857","ZINC26938076","LSM-3143","Ilomastat","HCC515",0.271,0.676,7.19e-06,25356,33095,28968.2036032613
"32858","ZINC01319821","LSM-4786","ST4029010","NPC",0.26,0.481,8.06e-07,36102,23246,28969.416493951
"32859","ZINC36312894","LSM-3264","SMR000009277","A549",0.214,0.673,5.62e-06,25888,32419,28970.0374870313
"32860","ZINC49428503","LSM-4026","Ipsapirone","PC3",0.208,0.66,2.88e-06,27855,30131,28970.657655635
"32861","ZINC39745267","LSM-22739","SMR000064811","PC3",0.316,0.62,1.28e-06,32088,26159,28972.2279433253
"32862","ZINC04587371","LSM-4623","MLS001178727","ASC",0.256,0.545,8.65e-07,35410,23706,28972.9090703712
"32863","ZINC14775329","LSM-2122","ST090534","A375",0.163,0.612,1.18e-06,32723,25656,28974.8388778954
"32864","ZINC22681454","LSM-4794","AC1MG5Y0","ASC",0.164,0.588,9.93e-07,34126,24602,28975.2972719867
"32865","ZINC35329191","LSM-1447","Felodipine","A375",0.205,0.681,1.13e-05,24662,34045,28976.1589932137
"32866","ZINC39455818","LSM-3595","MLS001065838","VCAP",0.19,0.583,9.71e-07,34344,24450,28977.7638888856
"32867","ZINC36303593","LSM-6371","SMR000075319","A549",0.27,0.682,1.37e-05,24424,34381,28977.949271817
"32868","ZINC39686559","LSM-36649","SULF1-A_000010","HCC515",0.164,0.662,3.13e-06,27578,30453,28979.8694614037
"32869","ZINC06173118","LSM-1404","Heat","PC3",0.207,0.583,9.74e-07,34334,24470,28985.3925279614
"32870","ZINC39462155","LSM-45600","Vidofludimus","PC3",0.183,0.627,1.39e-06,31547,26632,28985.5085171884
"32871","ZINC26650116","LSM-2735","MLS002473458","PC3",0.272,0.604,1.11e-06,33223,25292,28987.5165545446
"32872","ZINC61687582","LSM-4194","Amiloride","VCAP",0.319,0.667,4.52e-06,26451,31772,28989.6735407628
"32873","ZINC35971804","LSM-11789","BRD-K55437057","VCAP",0.232,0.643,1.82e-06,29970,28042,28989.9765436262
"32874","ZINC08684089","LSM-1639","Dihydroegotamine","MCF7",0.173,0.614,1.2e-06,32608,25774,28990.3189358103
"32875","ZINC29787690","LSM-3907","Tolbutamide","YAPC",0.261,0.6,1.07e-06,33484,25102,28991.6430717543
"32876","ZINC01625977","LSM-43290","Pracinostat","PC3",0.288,0.674,6.6e-06,25597,32845,28995.4042048046
"32877","ZINC43216212","LSM-3043","MLS002264481","MCF7",0.209,0.558,8.93e-07,35165,23910,28996.4678883481
"32878","ZINC49316838","LSM-2766","AC1MYETK","MCF7",0.288,0.684,2.32e-05,23973,35076,28997.8783361818
"32879","ZINC02397488","LSM-3555","ZINC00969081","ASC",0.241,0.651,2.23e-06,28972,29028,28999.9864827555
"32880","ZINC25010009","LSM-37814","SA-97343","MCF7",0.226,0.612,1.19e-06,32710,25712,29000.6813713057
"32881","ZINC36065893","LSM-4145","SMR000250171","A549",0.222,0.639,1.7e-06,30378,27688,29001.8286320018
"32882","ZINC22468904","LSM-1981","SCHEMBL2238247","MCF7",0.168,0.643,1.81e-06,30028,28011,29001.9707606225
"32883","ZINC09672035","LSM-15000","BRD-K95891443","VCAP",0.211,0.611,1.18e-06,32786,25657,29003.2826073188
"32884","ZINC09612041","LSM-2431","STK661558","VCAP",0.326,0.671,5.08e-06,26183,32129,29004.0274272384
"32885","ZINC64746087","LSM-4691","AC1MELGE","VCAP",0.252,0.652,2.3e-06,28839,29171,29004.5249745622
"32886","ZINC09958881","LSM-44692","BRD-K13226037","VCAP",0.281,0.667,4.24e-06,26644,31578,29006.2791822736
"32887","ZINC08996830","LSM-3941","9-Octadecenamide,n-[(4-hydroxy-3-methoxyphenyl)methyl]-","HCC515",0.306,0.65,2.21e-06,29030,28983,29006.4904805804
"32888","ZINC59881523","LSM-2444","ZM-241385","HCC515",0.22,0.61,1.17e-06,32848,25616,29007.4881366864
"32889","ZINC45443370","LSM-5722","Cefadroxil","PC3",0.166,0.629,1.43e-06,31389,26807,29007.6700718965
"32890","ZINC36206835","LSM-4563","172985-18-1","A549",0.267,0.66,2.99e-06,27799,30271,29008.6802354054
"32891","ZINC60509779","LSM-45409","Luliconazole","YAPC",0.202,0.679,9.33e-06,24999,33662,29008.9010133097
"32892","ZINC15605673","LSM-45916","Linagliptin","PC3",0.36,0.672,5.71e-06,25931,32453,29009.2871853136
"32893","ZINC60355778","LSM-5576","Alosetron","MCF7",0.206,0.686,3.21e-05,23787,35381,29010.4782277025
"32894","ZINC01366071","LSM-3663","Irsogladine","MCF7",0.32,0.667,4.6e-06,26448,31822,29010.8299777859
"32895","ZINC14978557","LSM-6785","MLS003130365","VCAP",0.324,0.657,2.74e-06,28134,29920,29013.260416575
"32896","ZINC35591910","LSM-10915","BRD-K40708745","VCAP",0.181,0.613,1.2e-06,32659,25775,29013.5438200851
"32897","ZINC66402059","LSM-3682","AC1N0AAO","A549",0.21,0.649,2.1e-06,29263,28767,29013.940115055
"32898","ZINC10821182","LSM-3443","JNJ-16259685","A549",0.228,0.683,1.68e-05,24286,34668,29016.323819533
"32899","ZINC39491759","LSM-2501","MLS001065903","HT29",0.24,0.677,8.16e-06,25234,33368,29017.376035748
"32900","ZINC39481867","LSM-39942","BRD-K48150994","HT29",0.194,0.654,2.42e-06,28639,29402,29017.9923151137
"32901","ZINC20876961","LSM-6212","ALDA 1","RMUGS",0.223,0.644,1.89e-06,29813,28246,29018.9248250172
"32902","ZINC38777211","LSM-13471","CHEMBL2355378","A549",0.163,0.519,8.38e-07,35841,23497,29019.9237938352
"32903","ZINC03563573","LSM-1660","AC1NNAUY","VCAP",0.265,0.576,9.54e-07,34599,24345,29022.6231584948
"32904","ZINC66791067","LSM-4256","Alpelisib","SKBR3",0.331,0.571,9.44e-07,34702,24278,29025.7671044195
"32905","ZINC63908311","LSM-37828","BRD-K10779199","VCAP",0.243,0.625,1.38e-06,31689,26592,29028.8457917293
"32906","ZINC66347420","LSM-45629","BX471","HA1E",0.209,0.633,1.54e-06,30998,27185,29028.961917368
"32907","ZINC14987212","LSM-40147","BRD-K52099002","A549",0.283,0.667,4.33e-06,26638,31635,29029.1772187914
"32908","ZINC53264036","LSM-4702","F3098-7034","MCF7",0.266,0.638,1.69e-06,30458,27668,29029.5012702595
"32909","ZINC27457042","LSM-14987","BRD-K93107794","A375",0.162,0.574,9.46e-07,34694,24295,29032.5804915788
"32910","ZINC61888197","LSM-1258","MLS002264502","A375",0.31,0.667,4.6e-06,26490,31823,29034.3119429409
"32911","ZINC65192259","LSM-1609","Fenoldopam","HELA",0.246,0.65,2.21e-06,29086,28984,29034.9552091957
"32912","ZINC27667421","LSM-3240","UNII-Q85IYK36S4","HA1E",0.199,0.593,1.03e-06,33915,24869,29041.9030884686
"32913","ZINC35980981","LSM-45591","AMD-070 (hydrochloride)","HT29",0.239,0.667,4e-06,26907,31348,29042.7380940572
"32914","ZINC16363225","LSM-45727","Lisofylline","HT29",0.197,0.65,2.2e-06,29124,28963,29043.3884386791
"32915","ZINC01690523","LSM-3765","SMR000130044","VCAP",0.285,0.688,0.000132,23400,36049,29043.873708581
"32916","ZINC08599482","LSM-45744","Balaglitazone","HA1E",0.231,0.657,2.74e-06,28193,29921,29044.1517865473
"32917","ZINC41852468","LSM-1795","VU0447134-2","VCAP",0.167,0.684,2.1e-05,24120,34974,29044.326124047
"32918","ZINC08867245","LSM-3348","AC1LB45U","VCAP",0.19,0.625,1.37e-06,31775,26549,29044.6978810247
"32919","ZINC22402743","LSM-2375","Clebopride","HA1E",0.169,0.561,9.11e-07,35085,24046,29045.7210273734
"32920","ZINC05920736","LSM-3873","7-Bromo-1,2,3,9-tetrahydropyrrolo[2,1-b]quinazoline","A549",0.205,0.583,9.87e-07,34337,24574,29048.191647674
"32921","ZINC58020849","LSM-20930","1-(1,3-Benzodioxol-5-ylcarbonyl)piperidine","HELA",0.279,0.645,1.97e-06,29671,28442,29050.0014113597
"32922","ZINC00659110","LSM-36981","SCHEMBL13888951","NPC",0.277,0.605,1.14e-06,33143,25463,29050.3048004664
"32923","ZINC39511917","LSM-6249","ZINC68199948","A673",0.261,0.684,2.46e-05,24018,35140,29051.5493562736
"32924","ZINC39675406","LSM-37963","BRD-K13468108","VCAP",0.197,0.681,1.22e-05,24680,34198,29051.792371556
"32925","ZINC40270390","LSM-2260","Nocodazole","NPC",0.27,0.676,7.86e-06,25358,33289,29054.1298613467
"32926","ZINC36704365","LSM-3906","MLS000039538","HT29",0.24,0.542,8.77e-07,35487,23788,29054.5135219986
