"LINCS Candidate Name","Candidate LSM ID","Cell Line","Concordance"
"BRD-K41115759","LSM-39541","PC3",0.208
"Tyrosine O-Sulfate","LSM-36390","FIBRNPC",0.208
"BRD-K10846668","LSM-37833","PC3",0.208
"ZINC9212416","LSM-5454","MCF7",0.208
"BRD-K97095445","LSM-42531","MCF7",0.208
"BRD-K15638296","LSM-38088","PC3",0.208
"1-(3-Chlorophenyl)-4-hexylpiperazine","LSM-4106","MCF7",0.208
"BRD-K22663811","LSM-38500","VCAP",0.208
"BRD-K53410660","LSM-11687","VCAP",0.208
"BRD-K70276339","LSM-44839","HT29",0.208
"BRD-K96539190","LSM-42511","PC3",0.208
"BRD-K65313110","LSM-7718","VCAP",0.208
"BRD-K29035246","LSM-10188","VCAP",0.208
"BRD-K57321627","LSM-40413","A549",0.208
"BRD-K16480639","LSM-7068","VCAP",0.208
"BRD-K37225211","LSM-10676","VCAP",0.208
"MLS003178539","LSM-2627","A375",0.208
"BRD-K77987559","LSM-7864","VCAP",0.208
"BRD-K46766834","LSM-6752","VCAP",0.208
"Deferiprone","LSM-36972","HT29",0.208
"Doxycycline","LSM-5179","PC3",0.208
"BRD-K42841961","LSM-39625","HT29",0.208
"BRD-K80197532","LSM-41646","HT29",0.208
"ICI-89406","LSM-1257","NPC",0.208
"BRD-K00801770","LSM-8484","HT29",0.208
"BRD-K74133369-001-01-8","LSM-43230","NPC",0.208
"Ipsapirone","LSM-4026","PC3",0.208
"Elesclomol","LSM-4929","A549",0.208
"BRD-K78432605","LSM-41548","PC3",0.208
"BRD-K53592093-001-01-3","LSM-6128","SKB",0.208
"BRD-K05275169","LSM-8742","VCAP",0.208
"BRD-K70923866","LSM-41134","PC3",0.208
"BRD-K52572235","LSM-40168","VCAP",0.208
"BRD-K01626010","LSM-8540","VCAP",0.208
"CHEMBL3184674","LSM-8534","VCAP",0.208
"MLS002703103","LSM-2207","A375",0.208
"Alista","LSM-3161","PC3",0.208
"ZINC04980953","LSM-4822","SKB",0.208
"BRD-M91803535","LSM-45081","MCF7",0.208
"Zebularine","LSM-36362","FIBRNPC",0.208
"BRD-K11624501","LSM-37863","VCAP",0.208
"BRD-K41660807","LSM-10959","PC3",0.208
"VU0405172-2","LSM-2937","HEPG2",0.208
"7-Hydroxyflavone","LSM-4663","HEPG2",0.208
"BRD-K89097220","LSM-45319","HCC515",0.208
"BRD-K50266413","LSM-11488","VCAP",0.208
"BRD-K07237640","LSM-8852","VCAP",0.208
"BRD-K86800060","LSM-13749","VCAP",0.208
"BRD-K47203692","LSM-43400","VCAP",0.208
"PRESTWICK3_000689","LSM-1944","HCC515",0.208
"BRD-K39227212","LSM-7349","VCAP",0.208
"MLS002703107","LSM-3603","HA1E",0.208
"BRD-K43980524","LSM-11113","VCAP",0.208
"Enalaprilat","LSM-6026","HA1E",0.208
"Trimethadione","LSM-5345","PC3",0.207
"BRD-K37303684","LSM-10681","VCAP",0.207
"BRD-K76243153","LSM-41432","PC3",0.207
"BRD-A10420615-001-02-8","LSM-1306","A549",0.207
"BRD-K92331543","LSM-46150","A375",0.207
"MLS003129335","LSM-8290","VCAP",0.207
"BRD-K31367750","LSM-15031","VCAP",0.207
"BRD-K68370959","LSM-12600","A375",0.207
"FPA1_000240","LSM-36679","ASC",0.207
"Mestranol","LSM-2693","HA1E",0.207
"BRD-K38465286","LSM-44756","PC3",0.207
"BRD-A73513677","LSM-45325","HL60",0.207
"BRD-K56647759","LSM-40381","PC3",0.207
"MLS001065841","LSM-2365","PC3",0.207
"BRD-K48875630","LSM-39991","A375",0.207
"BRD-K65437607","LSM-12419","VCAP",0.207
"ST004815","LSM-36681","HUH7",0.207
"VU0420363-1","LSM-3326","HCC515",0.207
"BRD-K37513668","LSM-7331","VCAP",0.207
"BRD-K37073485","LSM-39303","VCAP",0.207
"BRD-K78826848","LSM-41575","MCF7",0.207
"ST50591990","LSM-42844","A375",0.207
"Heat","LSM-1404","PC3",0.207
"BRD-A77864279","LSM-45397","HA1E",0.207
"BRD-K29528387","LSM-10218","VCAP",0.207
"Methylprednisolone","LSM-5485","HEPG2",0.207
"BRD-K84770507","LSM-41898","VCAP",0.207
"BRD-K96698997","LSM-8419","VCAP",0.207
"SUGA1_010488","LSM-36644","SKB",0.207
"AC1O9ATU","LSM-1760","MCF7",0.207
"BRD-K37856394","LSM-39353","VCAP",0.207
"BRD-K75145803","LSM-41368","A549",0.207
"Astemizole","LSM-5502","MCF7",0.207
"BRD-K26909795","LSM-10060","VCAP",0.207
"BRD-K07951922","LSM-37702","VCAP",0.207
"BRD-K84909597","LSM-7940","VCAP",0.207
"BRD-K63124331-001-01-5","LSM-37151","NPC",0.207
"CHEMBL1712678","LSM-2319","A549",0.207
"Narlaprevir","LSM-45473","YAPC",0.207
"LE 300","LSM-2007","ASC",0.207
"CHEMBL1531873","LSM-3859","MCF7",0.207
"BRD-K14854082","LSM-9322","VCAP",0.207
"BRD-K28317853","LSM-15127","PC3",0.207
"201943-63-7","LSM-3560","HCC515",0.207
"MLS000684370","LSM-3444","PC3",0.207
"BRD-K92191596","LSM-8018","VCAP",0.207
"BRD-K13528168-001-01-6","LSM-36995","NEU",0.207
"Swainsonine","LSM-45602","HA1E",0.207
"IOX2","LSM-6339","A549",0.207
"MLS002607683","LSM-3292","MCF7",0.207
"BW-723C86","LSM-1351","NEU",0.207
"Erythromycin Estolate","LSM-2876","VCAP",0.207
"BRD-K26684619","LSM-45323","HL60",0.207
"BRD-K72463020","LSM-14912","VCAP",0.207
"Docetaxel Intermediate","LSM-5723","A549",0.207
"Cinoxacin","LSM-6552","HA1E",0.207
"Ritodrine","LSM-3138","A375",0.207
"SA-85377","LSM-39088","MCF7",0.207
"BRD-K61657561","LSM-40645","A549",0.207
"Fenipentol","LSM-5117","MCF7",0.207
"MLS-0425618.0001","LSM-3954","MCF7",0.207
"BRD-K47419679","LSM-39895","PC3",0.207
"CHEMBL1270113","LSM-3342","HCC515",0.207
"SCHEMBL2554399","LSM-3303","A549",0.207
"SMER28","LSM-4523","HT29",0.207
"AC1NOPAJ","LSM-1907","A375",0.207
"BRD-K28452359","LSM-38822","HT29",0.206
"Val-Val-Val","LSM-36965","FIBRNPC",0.206
"Dirithromycin","LSM-5636","PC3",0.206
"CHEMBL1986318","LSM-6610","HCC515",0.206
"Alvelestat","LSM-45793","HELA",0.206
"BRD-K82158149","LSM-41758","PC3",0.206
"BRD-K93368389","LSM-43437","VCAP",0.206
"MLS002276484","LSM-2585","HA1E",0.206
"RS102895","LSM-3870","VCAP",0.206
"Sulfamonomethoxine","LSM-5320","PC3",0.206
"Reichsteins Substance S","LSM-36903","HT29",0.206
"MLS001150507","LSM-2632","MCF7",0.206
"SA-1458571","LSM-38001","MCF7",0.206
"IN1542","LSM-36941","NPC",0.206
"CYM50199","LSM-2362","A375",0.206
"BRD-K61788733","LSM-12174","PC3",0.206
"BRD-K50204028","LSM-40053","VCAP",0.206
"BRD-K86997557","LSM-13766","VCAP",0.206
"BRD-K98803880","LSM-6858","PHH",0.206
"Brimonidine","LSM-3526","VCAP",0.206
"BRD-K17088043","LSM-9460","VCAP",0.206
"MLS003448167","LSM-2956","MCF7",0.206
"BRD-K37407046","LSM-7329","VCAP",0.206
"2-(4-(4-Chloro-1,2-diphenylbut-1-en-1-yl)phenoxy)-n,n-dimethylethanamine","LSM-42974","HCC515",0.206
"BRD-K01055635","LSM-8501","VCAP",0.206
"2-(Trifluoromethyl)phenothiazine","LSM-3173","A549",0.206
"BRD-K96072301","LSM-42485","MCF7",0.206
"MLS003129716","LSM-7780","VCAP",0.206
"MEGXM0_000433","LSM-43072","ASC",0.206
"CHEMBL2002102","LSM-39063","VCAP",0.206
"BRD-K58679238","LSM-11972","VCAP",0.206
"Alosetron","LSM-5576","MCF7",0.206
"BRD-K16930636","LSM-14735","VCAP",0.206
"BRD-K66975725","LSM-12508","VCAP",0.206
"BRD-K74152472","LSM-41302","A375",0.206
"BRD-K99395085","LSM-42650","VCAP",0.206
"BRD-K06145650","LSM-14698","A549",0.206
"BRD-K72780683","LSM-12884","VCAP",0.206
"BRD-K78687850","LSM-41562","A375",0.206
"BRD-K70797508","LSM-12747","A549",0.206
"KUC103671","LSM-3082","HCC515",0.206
"AZD5363","LSM-45868","A375",0.206
"BRD-K53406626","LSM-11685","VCAP",0.206
"BRD-K75048204","LSM-41360","PC3",0.206
"BRD-K66356233","LSM-12471","A549",0.206
"CHEMBL8197","LSM-1851","HT29",0.206
"BRD-K89833083","LSM-42168","PC3",0.206
"Cucurbitacin I","LSM-42825","MCF7",0.206
"HMS3267E16","LSM-1380","HCC515",0.206
"BRD-K11989341","LSM-37888","HT29",0.206
"BRD-K57371454","LSM-7610","VCAP",0.206
"Loxoprofen","LSM-5054","HELA",0.206
"BRD-K37184875","LSM-39311","PC3",0.206
"BRD-K65165610","LSM-14892","A375",0.206
"BRD-K07276035","LSM-37660","VCAP",0.206
"BG-1024","LSM-36975","FIBRNPC",0.206
"BRD-K56763965","LSM-11860","VCAP",0.206
"MLS000107177","LSM-4606","A549",0.206
"BRD-K17525686","LSM-9481","HT29",0.206
"BRD-K01006500","LSM-8499","MCF7",0.206
"BRD-K74260403","LSM-12975","VCAP",0.206
"BRD-K91729331","LSM-14063","VCAP",0.206
"CGP-52432","LSM-1264","ASC",0.206
"MLS002576689","LSM-1884","MCF7",0.206
"BRD-K29582182","LSM-38878","PC3",0.206
"BRD-K18571495","LSM-9548","VCAP",0.206
"Honokiol","LSM-6013","HELA",0.206
"BRD-K73061717","LSM-12900","VCAP",0.206
"SA-1922932","LSM-37581","MCF7",0.206
"BRD-K83790954","LSM-41850","A549",0.206
"Temefos","LSM-3148","HA1E",0.205
"1-[2-(4-Methylphenyl)indolizin-3-yl]-2-[(5-methyl-1,3,4-thiadiazol-2-yl)sulfanyl]ethanone","LSM-4511","ASC",0.205
"Isoniazid","LSM-46042","HT29",0.205
"BRD-K88384060","LSM-13863","A549",0.205
"Otenzepad","LSM-22625","HA1E",0.205
"CHEMBL1869437","LSM-6145","MCF7",0.205
"CHEMBL2354384","LSM-37370","PC3",0.205
"BRD-K77424821","LSM-7857","VCAP",0.205
"CHEMBL3186722","LSM-38352","A375",0.205
"BRD-K67069164","LSM-14900","PC3",0.205
"BRD-K63494246","LSM-12294","PC3",0.205
"522-11-2","LSM-3052","A549",0.205
"BRD-K54577741","LSM-40259","PC3",0.205
"BRD-K66689236","LSM-12490","VCAP",0.205
"Tipranavir","LSM-45721","HA1E",0.205
"CHEMBL3084797","LSM-1261","A375",0.205
"7-Bromo-1,2,3,9-tetrahydropyrrolo[2,1-b]quinazoline","LSM-3873","A549",0.205
"CHEMBL589756","LSM-3992","VCAP",0.205
"BRD-K62995317","LSM-12261","VCAP",0.205
"BRD-K54261877","LSM-7554","VCAP",0.205
"BRD-K18048820","LSM-38228","VCAP",0.205
"BRD-K11742792","LSM-37871","PC3",0.205
"N-Cyclooctyl-4-methylbenzenesulfonamide","LSM-6588","VCAP",0.205
"BRD-K22500599","LSM-9792","VCAP",0.205
"BRD-K28508449","LSM-10154","VCAP",0.205
"SPECTRUM5_001963","LSM-44129","NEU",0.205
"BRD-K91501298","LSM-42255","PC3",0.205
"Isoolomoucine","LSM-3930","HA1E",0.205
"BRD-K80065513","LSM-13318","VCAP",0.205
"MLS-0367705.0001","LSM-2554","PC3",0.205
"CHEMBL2136110","LSM-2505","VCAP",0.205
"Otenabant","LSM-45969","HA1E",0.205
"BRD-K78633583","LSM-8367","VCAP",0.205
"BRD-K24776817","LSM-9934","A549",0.205
"BRD-K50218765","LSM-11485","VCAP",0.205
"3-(4,5-Dihydro-1H-imidazol-2-yl)isoquinoline","LSM-3251","A375",0.205
"CHEMBL599255","LSM-4317","ASC",0.205
"BRD-K38860595","LSM-10781","MCF7",0.205
"SA-1456102","LSM-39403","MCF7",0.205
"BRD-K72147201","LSM-41187","VCAP",0.205
"CTS-1027","LSM-45524","YAPC",0.205
"BRD-K81261525","LSM-44866","VCAP",0.205
"MLS001065871","LSM-2017","A549",0.205
"2-Cyano-3-(3,4-dihydroxyphenyl)-n-phenylprop-2-enamide","LSM-2755","HEPG2",0.205
"SCHEMBL17515404","LSM-44606","A549",0.205
"SCHEMBL5345535","LSM-37127","NPC",0.205
"Bindarit","LSM-45435","PC3",0.205
"AC1NH1CK","LSM-2909","A375",0.205
"BRD-K51633576","LSM-40120","A549",0.205
"MLS004683634","LSM-6156","HA1E",0.205
"AC1O9QGC","LSM-6556","HCC515",0.205
"BRD-K25388406","LSM-15124","PC3",0.205
"BRD-K88363359","LSM-13862","VCAP",0.205
"Avrainvillamide-analog-6","LSM-37107","HCC515",0.205
"BRD-K91053205","LSM-44903","PC3",0.205
"BRD-K06187854","LSM-14699","HT29",0.205
"2,2'-Pyridylisatogen","LSM-2971","HA1E",0.205
"BRD-K35440877","LSM-10555","VCAP",0.205
"BRD-K74639017","LSM-13002","VCAP",0.205
"BRD-K90898708","LSM-14024","VCAP",0.205
"NCGC00238427-01","LSM-1511","A375",0.205
"BRD-K05928130","LSM-37597","HT29",0.205
"BRD-K11930946","LSM-6999","VCAP",0.205
"BRD-K84651951","LSM-13603","VCAP",0.205
"AS 605240","LSM-42785","FIBRNPC",0.205
"AC1L1CZR","LSM-4981","VCAP",0.205
"BRD-K41520872","LSM-39568","MCF7",0.205
"MLS002264487","LSM-3550","MCF7",0.205
"BRD-K99569179","LSM-42665","A549",0.205
"BRD-K51849212","LSM-40130","VCAP",0.205
"7-Hydroxy-2-n,n-dipropylaminotetralin","LSM-22631","FIBRNPC",0.205
"Escitalopram","LSM-3569","VCAP",0.205
"BRD-K93203589","LSM-42335","VCAP",0.205
"ZINC05054912","LSM-4871","HEPG2",0.205
"BRD-K66643665","LSM-14898","A375",0.205
"Felodipine","LSM-1447","A375",0.205
"Talniflumate","LSM-1960","MCF7",0.205
"F0012-0289","LSM-4634","HT29",0.205
"BRD-K24769439","LSM-9933","MCF7",0.205
"BRD-K10709111","LSM-37823","VCAP",0.205
"N-{3-[2-(4-Methyl-pyridin-2-ylamino)-thiazol-4-yl]-phenyl}-acetamide","LSM-36399","PC3",0.204
"BRD-K84879982","LSM-41904","A375",0.204
"BRD-M82627054","LSM-45071","MCF7",0.204
"MLS003129344","LSM-7721","VCAP",0.204
"KUC104255","LSM-4056","MCF7",0.204
"BRD-K00689442","LSM-37321","VCAP",0.204
"BRD-K29125789","LSM-38850","HT29",0.204
"CHEMBL593506","LSM-2831","A375",0.204
"BRD-K06022983","LSM-8778","VCAP",0.204
"Fluticasone Propionate","LSM-3384","A375",0.204
"PK04_181167","LSM-36762","MCF7",0.204
"BRD-K70804088","LSM-41127","PC3",0.204
"BRD-K48332988","LSM-39951","A549",0.204
"CHEMBL2361140","LSM-15118","VCAP",0.204
"BRD-K54168930","LSM-40239","A549",0.204
"BRD-K14327282","LSM-7044","VCAP",0.204
"BRD-K36620425","LSM-39274","VCAP",0.204
"BRD-K32345392","LSM-10391","VCAP",0.204
"CHEMBL2359660","LSM-7356","VCAP",0.204
"BRD-K41790019","LSM-7377","VCAP",0.204
"BRD-K27961885","LSM-44725","PC3",0.204
"AC1MD3YP","LSM-1801","PC3",0.204
"PHNFXXZEKWQHDX-UHFFFAOYSA-N","LSM-4207","PC3",0.204
"BRD-K30719410","LSM-38949","A375",0.204
"SUGA2_000482","LSM-36658","MCF7",0.204
"BRD-K57072576","LSM-11888","VCAP",0.204
"Retigabine","LSM-45405","YAPC",0.204
"CHEMBL2137429","LSM-7427","VCAP",0.204
"Hbdde","LSM-5666","NPC",0.204
"7-OH-PIPAT","LSM-42809","HEPG2",0.204
"BRD-K51776699","LSM-11595","VCAP",0.204
"IAA-94","LSM-3913","MCF7",0.204
"Angolensic Acid, Methyl Ester","LSM-1458","HA1E",0.204
"STK327831","LSM-2865","MCF7",0.204
"SUGA1_010400","LSM-36752","HCC515",0.204
"BRD-K74728819-019-01-3","LSM-36583","A375",0.204
"Diprotin A","LSM-3546","HA1E",0.204
"BRD-K47156219","LSM-7449","VCAP",0.204
"Ala-Ala-Phe-Cmk","LSM-4092","A375",0.204
"BRD-K00248354","LSM-45928","HELA",0.204
"17952-87-3","LSM-2970","HT29",0.204
"BRD-K72713245","LSM-41214","A549",0.204
"BRD-K86727142-001-06-6","LSM-3937","SKB",0.204
"BRD-K89644093","LSM-13959","VCAP",0.204
"SB415286","LSM-3719","PC3",0.204
"SCHEMBL722708","LSM-4983","A375",0.204
"BRD-K42709418","LSM-11023","A549",0.204
"BRD-K61388502","LSM-12147","VCAP",0.204
"BRD-K79596575","LSM-13289","VCAP",0.204
"CHEMBL2145122","LSM-14536","VCAP",0.204
"ACON1_002163","LSM-4337","PC3",0.204
"BRD-K54302962","LSM-40247","VCAP",0.204
"Tirapazamine","LSM-45275","HELA",0.204
"ACETYLCYSTEINE","LSM-45626","HELA",0.204
"BRD-K08460070","LSM-6965","A549",0.204
"BRD-K49849398-019-01-8","LSM-36556","A375",0.204
"BRD-K38524184","LSM-10762","VCAP",0.204
"BRD-K07003080","LSM-8842","VCAP",0.204
"BRD-K28026280-001-01-7","LSM-5417","PC3",0.204
"BRD-K89627562","LSM-13956","VCAP",0.204
"BRD-K05395601","LSM-37560","VCAP",0.204
"BRD-K65290386","LSM-40837","PC3",0.204
"ST51005413","LSM-4948","HEPG2",0.204
"MLS003129178","LSM-8424","VCAP",0.204
"BRD-K33868913","LSM-39121","A375",0.204
"BRD-K98064019","LSM-6170","PHH",0.204
"BRD-K43615608","LSM-11088","VCAP",0.204
"BRD-K22389219","LSM-38483","PC3",0.204
"CAY-10415","LSM-5100","MCF7",0.204
"Fdurd","LSM-5157","MCF7",0.204
"BRD-K95391106-001-01-5","LSM-5993","PC3",0.204
"BRD-K46999092","LSM-39885","HT29",0.204
"BRD-K34412705","LSM-39151","MCF7",0.204
"BRD-K38632726","LSM-39398","PC3",0.204
"1-(4-Methylphenyl)-1-(2-pyridyl)-3-pyrrolidino prop-1-ene","LSM-2240","A375",0.204
"BRD-K16705018","LSM-9436","VCAP",0.204
"BRD-K39172790-001-01-9","LSM-37071","NEU",0.204
"BRD-K31441680","LSM-38982","VCAP",0.204
"BRD-K68796015","LSM-12628","HT29",0.204
"MLS-0437151.0001","LSM-4035","A549",0.204
"Reboxetine","LSM-1561","HA1E",0.204
"Mercaptopurine","LSM-5963","MCF7",0.204
"BRD-K17891672","LSM-9504","VCAP",0.204
"BRD-A55317422","LSM-36902","NEU",0.204
"Bromfenac","LSM-5585","PC3",0.204
"Pentamidine","LSM-4540","HT29",0.204
"Tiotidine","LSM-2226","A549",0.204
"BRD-K51475868","LSM-40113","A549",0.204
"BRD-K09957764","LSM-37788","MCF7",0.204
"BRD-K16969565","LSM-38165","A549",0.204
"BRD-K41931739","LSM-39588","PC3",0.204
"BRD-K61113746","LSM-12127","VCAP",0.204
"CHEMBL2359332","LSM-7690","VCAP",0.204
"BRD-K75609900","LSM-13052","HT29",0.204
"BRD-K84567604","LSM-13597","VCAP",0.204
"BRD-K53263381","LSM-11674","A549",0.204
"BRD-K29809218","LSM-10237","VCAP",0.204
"BRD-K81121951","LSM-7906","VCAP",0.203
"BRD-K11436949","LSM-9125","VCAP",0.203
"BRD-K76970388","LSM-15162","VCAP",0.203
"ALD1-H_001208","LSM-45099","NPC",0.203
"BRD-K28135985","LSM-38804","VCAP",0.203
"BRD-K20093888","LSM-7114","VCAP",0.203
"BRD-K46300014","LSM-11253","VCAP",0.203
"BRD-K59261663","LSM-44805","HT29",0.203
"BRD-K91662540","LSM-42263","A549",0.203
"MLS002695992","LSM-5003","MCF7",0.203
"BRD-K92313046","LSM-14094","MCF7",0.203
"estropipate","LSM-3126","HA1E",0.203
"BRD-K15923759","LSM-38103","HT29",0.203
"BRD-K96005107","LSM-14316","VCAP",0.203
"BRD-K92656786","LSM-14107","HT29",0.203
"BRD-K00262440","LSM-8442","VCAP",0.203
"BRD-K88078052","LSM-42075","HT29",0.203
"BRD-K67766243","LSM-12557","VCAP",0.203
"BRD-K62638625","LSM-12231","VCAP",0.203
"Racephedrine","LSM-1633","HT29",0.203
"BRD-K67769696","LSM-12558","A549",0.203
"BRD-K51134784","LSM-40092","PC3",0.203
"Tropicamide","LSM-1814","MCF7",0.203
"BRD-K92847204-001-01-0","LSM-42313","VCAP",0.203
"BRD-K87167564","LSM-13774","VCAP",0.203
"SC68376","LSM-3919","HA1E",0.203
"BRD-K51750373","LSM-40124","VCAP",0.203
"CHEMBL2360190","LSM-37769","MCF7",0.203
"BRD-K50791850","LSM-11524","HT29",0.203
"BRD-K80761414","LSM-41671","VCAP",0.203
"CHEMDIV3_005068","LSM-6067","MCF7",0.203
"BRD-K82957261","LSM-7917","VCAP",0.203
"SA-1920327","LSM-41048","MCF7",0.203
"BRD-K72430479","LSM-41197","VCAP",0.203
"I-BET151","LSM-6335","HT29",0.203
"CHEMBL3185651","LSM-3257","PC3",0.203
"BRD-K33012050","LSM-10434","VCAP",0.203
"BRD-K75717096","LSM-13058","VCAP",0.203
"BRD-K12844656","LSM-37929","VCAP",0.203
"CHEMBL1939087","LSM-2847","A375",0.203
"BRD-K11555344-019-01-0","LSM-36484","A549",0.203
"Picrotoxin","LSM-4980","PC3",0.203
"Urosiol","LSM-5720","MCF7",0.203
"VU-0415556-1","LSM-1885","VCAP",0.203
"ACON1_001667","LSM-43070","PC3",0.203
"BRD-K74923162","LSM-41351","VCAP",0.203
"brefeldin-a","LSM-45381","HELA",0.203
"SCHEMBL18825","LSM-5237","SKB",0.203
"BRD-K48257023","LSM-11364","VCAP",0.203
"Pralatrexate","LSM-45944","HA1E",0.203
"KUC103871","LSM-3133","HT29",0.203
"BRD-K26553253","LSM-38718","VCAP",0.203
"Alvimopan (monohydrate)","LSM-45414","HT29",0.203
"Tegafur","LSM-5155","VCAP",0.203
"BRD-K75845944","LSM-41399","NPC",0.203
"Flurandrenolide","LSM-1993","VCAP",0.203
"Triclabendazole","LSM-5875","VCAP",0.203
"4-[1-(2-Thienyl)cyclohexyl]morpholine","LSM-36985","NPC",0.203
"SA-1921085","LSM-40459","A375",0.202
"GTP 14564","LSM-2363","A549",0.202
"Vinblastine","LSM-6068","HUH7",0.202
"Deoxyrhapontin","LSM-42887","PC3",0.202
"BRD-K52044217","LSM-40145","A549",0.202
"BRD-K24821098","LSM-9939","VCAP",0.202
"BRD-K22719646","LSM-9809","A549",0.202
"RG7227, ITMN-191, RO5190591, 850876-88-9","LSM-43182","PC3",0.202
"CHEMBL2359362","LSM-12720","VCAP",0.202
"L 2167","LSM-6012","HA1E",0.202
"Minaprine","LSM-2037","YAPC",0.202
"Triazolothiadiazine, 41","LSM-1245","A549",0.202
"BRD-K15918270","LSM-38102","NEU",0.202
"BRD-K16506419","LSM-9426","VCAP",0.202
"Alendronic acid","LSM-5831","MCF7",0.202
"BRD-K51179640","LSM-11557","VCAP",0.202
"BRD-K35789946","LSM-39228","VCAP",0.202
"Pyrazinamide","LSM-5425","HT29",0.202
"CHEMBL2131444","LSM-41327","MCF7",0.202
"VU0413238-1","LSM-3985","A375",0.202
"BRD-K33065959","LSM-10442","VCAP",0.202
"BRD-K98194519","LSM-14464","VCAP",0.202
"MLS000729299","LSM-2998","A549",0.202
"BRD-K43690686","LSM-7401","VCAP",0.202
"MLS000094939","LSM-3353","MCF7",0.202
"Cefpodoxime Proxetil","LSM-44979","HA1E",0.202
"BRD-K77423370","LSM-7856","VCAP",0.202
"BRD-K87449521","LSM-42036","VCAP",0.202
"ESTRAMUSTINE","LSM-45460","HA1E",0.202
"BRD-K55854370","LSM-11812","A549",0.202
"Piracetam","LSM-5364","HELA",0.202
"BRD-K44890999","LSM-39755","ASC",0.202
"Guanadrel","LSM-43257","HT29",0.202
"BRD-K15695045","LSM-9369","VCAP",0.202
"AC1MR9ZN","LSM-1642","HT29",0.202
"MLS002474333","LSM-6619","PC3",0.202
"RG7090","LSM-45680","HELA",0.202
"BRD-K98622504","LSM-14482","VCAP",0.202
"BRD-A38898897","LSM-42818","A549",0.202
"BRD-K30820123","LSM-36406","A375",0.202
"Vindesine","LSM-5693","MCF7",0.202
"BROAD-SAI-071","LSM-36783","ASC",0.202
"BRD-K71718338","LSM-12817","VCAP",0.202
"BRD-K36232729","LSM-39255","NEU",0.202
"Capsazepine","LSM-2983","NPC",0.202
"AC1L99UL","LSM-1831","HT29",0.202
"SPECTRUM1505034","LSM-1856","MCF7",0.202
"BRD-K41763142","LSM-10967","HT29",0.202
"Trolox","LSM-4987","MCF7",0.202
"BRD-K93545352","LSM-8043","VCAP",0.202
"Luliconazole","LSM-45409","YAPC",0.202
"3-Aminomethylbutanoic acid","LSM-4455","A375",0.202
"Vakerin","LSM-1334","HT29",0.202
"BRD-K71710045","LSM-12816","VCAP",0.202
"BRD-K51181663","LSM-11558","VCAP",0.202
"RO-154513","LSM-3861","HCC515",0.202
"BRD-K88990907","LSM-13903","VCAP",0.202
"CHEMBL1531985","LSM-2076","VCAP",0.202
"BRD-K31000214","LSM-10298","A549",0.202
"BRD-K80223377","LSM-13330","VCAP",0.202
"501925-31-1","LSM-3608","HCC515",0.202
"Alpha-Tochopherol","LSM-4487","A549",0.202
"BRD-K07689498","LSM-44683","HT29",0.202
"D-64131","LSM-2592","NPC",0.202
"BRD-K94498396","LSM-36822","MCF7",0.202
"CHEMBL3187124","LSM-44859","HT29",0.202
"Oleoylethanolamide","LSM-42935","HEPG2",0.202
"Isoquercetin","LSM-5818","PC3",0.202
"PSB 36","LSM-1748","MCF7",0.202
"BRD-K88608081","LSM-13874","A375",0.202
"BRD-K40321450","LSM-7362","VCAP",0.201
"TILUDRONATE DISODIUM","LSM-45491","HELA",0.201
"BRD-K90608600","LSM-42213","VCAP",0.201
"BAS 00134377","LSM-37172","NPC",0.201
"MLS001170902","LSM-43119","HA1E",0.201
"BRN 1601185","LSM-4832","HEPG2",0.201
"(3-Hydroxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-17-yl) acetate","LSM-1398","VCAP",0.201
"BRD-K57166447","LSM-11891","NPC",0.201
"ZINC04521755","LSM-5468","PC3",0.201
"MLS002607695","LSM-3147","PC3",0.201
"BRD-K79826210","LSM-41628","VCAP",0.201
"Anacetrapib (MK-0859)","LSM-45618","A375",0.201
"BRD-K93138145","LSM-42327","VCAP",0.201
"BRD-K38594532","LSM-6805","HT29",0.201
"Arglabin","LSM-45693","HELA",0.201
"Z-Pro-Prolinal","LSM-3340","A549",0.201
"BRD-K38885465","LSM-39412","VCAP",0.201
"PKC Beta Inhibitor","LSM-4753","HT115",0.201
"BRD-K33894111","LSM-7286","VCAP",0.201
"VU0415012","LSM-2696","HCC515",0.201
"MLS004342525","LSM-10841","VCAP",0.201
"BRD-K03463440","LSM-37462","VCAP",0.201
"MLS003129149","LSM-7790","A549",0.201
"BRD-K47569804-001-01-0","LSM-11326","VCAP",0.201
"BRD-K31385226","LSM-10328","VCAP",0.201
"MLS003129805","LSM-8388","VCAP",0.201
"BRD-K14023438","LSM-43451","VCAP",0.201
"NCGC00170547-01","LSM-36672","ASC",0.201
"BRD-K20119687","LSM-7116","VCAP",0.201
"VX-222 (VCH-222, Lomibuvir)","LSM-45284","HT29",0.201
"BRD-K40034229","LSM-39475","VCAP",0.201
"CHEMBL1270220","LSM-3642","HT29",0.201
"BRD-K55106539","LSM-11769","VCAP",0.201
"AC1NA5E1","LSM-1464","HT29",0.201
"BRD-K44229115","LSM-11128","VCAP",0.201
"NCT-502","LSM-2265","HEPG2",0.201
"BRD-K30270755","LSM-10256","VCAP",0.201
"BRD-K30058879","LSM-38909","VCAP",0.201
"CHEMBL3185630","LSM-9339","MCF7",0.201
